"Total of %d cmspages were successfully updated.","Total of %d cmspages were successfully updated."
"Total of %d comments were successfully deleted.","Total of %d comments were successfully deleted."
"Total of %d comments were successfully updated.","Total of %d comments were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"URL key already exists.","URL key already exists."
"URL key for list page","URL key for list page"
"URL key","URL key"
"URL prefix","URL prefix"
"URL suffix","URL suffix"
"Unable to find cmspage to save.","Unable to find cmspage to save."
"Unable to find comment to save.","Unable to find comment to save."
"Unable to post the comment.","Unable to post the comment."
"Update Cmspage Status","Update Cmspage Status"
"Update cmspage","Update cmspage"
"Update status","Update status"
"Update","Update"
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"Use default config","Use default config"
"View Details","View Details"
"WYSIWYG Editor","WYSIWYG Editor"
"What goes after the dot. Leave empty for no suffix.","What goes after the dot. Leave empty for no suffix."
"XML","XML"
"Yes","Yes"
"You have submitted no comments for cmspages.","You have submitted no comments for cmspages."
"Your comment has been accepted for moderation.","Your comment has been accepted for moderation."
"Your name can't be empty","Your name can't be empty"
"accessroles","accessroles"
"author","author"
"eddate of visibility","eddate of visibility"
"enddate","enddate"
"htmlcontent","htmlcontent"
"layout","layout"
"layoutupdate","layoutupdate"
"name","name"
"on true assiciated categories will be displayed","on true assiciated categories will be displayed"
"on true assiciated products will be displayed","on true assiciated products will be displayed"
"permittedroleactions","permittedroleactions"
"showassociatedcategories","showassociatedcategories"
"showassociatedproducts","showassociatedproducts"
"start date of visibility","start date of visibility"
"startdate","startdate"
"the permitted roles are able to acces these actions","the permitted roles are able to acces these actions"
"these adminroles have access to edit page","these adminroles have access to edit page"
"type","type"
"version of the page","version of the page"
"version","version"